COUNTRY,CYCLE YEAR 1,CYCLE YEAR 2,ARTICLE/GR,CEDAW RECOMMENDATION,IMPLEMENTATION STATUS ,STATE ACTION,CATEGORY 1,INCOME STATUS,HUMANITARIAN CRISIS STATUS,Form of violence,Form of violence 2,Intersectional features,CSO commentary,Completed row? (Y/N),Violence,Forced,Sexual harassment,IPV,Femicide,FGM,Stalking,Rape,Forced marriage,Combined GBV
ANGOLA ,2013,2017,Article 12,"Consider removing punitive legislative provisions imposed on women who undergo abortion, in line with the Committee’s general recommendation No. 24(1999) on women and health, and broadening the conditions under which abortion can be legally available, including when pregnancy is harmful to the mother’s health and in instances of rape and incest;",Partial,"The draft new Criminal Code establishes the applicable circumstances and sanctions for the performance of abortion. This topic calls for a broad discussion among those who support free access to abortion and those who support the prohibition of any means of eliminating a foetus (intrauterine life).                                                                                                                                      Implementation, monitoring and evaluation of the Strategy to Combat HIV/AIDS",Legislation/policy change,Lower middle ,Y,,,,,,0,0,0,0,0,0,0,1,0,1
ANGOLA ,2013,2017,General recommendation 19,"Pay special attention to the needs of women who face multiple forms of discrimination, including rural women, to ensure that they have access, without discrimination, to health, education, clean water, sanitation and income generating activities;
",Partial,"Developing a policy aimed at creating favourable conditions for rural women, especially in fulfilment of the commitments set out in the National Development Plan and in response to the results of the national forum held to hear rural women’s views on 7 August 2014.                                                                                                      • Consideration of measures to address to the concerns in the main areas of interest to women, including: access to land, natural and technological resources; access to credit for the purchase of equipment and materials for agriculture; access to electricity, water and basic sanitation; access to employment and vocational-occupational training; literacy and education; housing; health and kits for traditional birth attendants; gender equality and participation; domestic violence; culture; positive traditional habits; and birth registration and acquisition of an identity document.
",Legislation/policy change,Lower middle ,Y,,,,,,1,0,0,0,0,0,0,0,0,1
ANGOLA ,2013,2017,Article 3,"Raise awareness among decision-makers that the empowerment of women is essential as a means to advance democracy, combat poverty and achieve sustainable development;                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ",Implemented,"Act No. 22/10 of 3 December, the Political Parties Act, whose article 20 (m), on statutes and programming, provides that the statutes of political parties must mandatorily include rules that encourage the promotion of equality between men and women and ensure that women make up at least 30 per cent of their governing bodies at all levels                                                                                                                                                                                                                                                                                         Activities carried out under the National Policy for Gender Equality and Equity include:
(a) For the empowerment of women, several occupational training programmes have been carried out at the national level, in which 380 women from associations, cooperatives and civil society organizations received training in techniques for processing agricultural products and in community leadership. Technical personnel from research and planning units and focal points from several ministerial departments also received training on budgeting and planning with a gender perspective and on gender and the Sustainable Development Goals, in alignment with public instruments and policies.
(b) In the area of gender equality, conferences and seminars have been held at the national level on gender and domestic violence, early pregnancy and maternal and neonatal mortality, and training has been offered for gender mobilizers and activists. Informational materials have been distributed, including brochures on gender-related concepts, the campaign to discourage early marriage and pregnancy, the national gender policy, the Domestic Violence Act, the “Recipe for Happiness” programme and international, regional and national instruments. In addition, traditional birth attendants have been trained and have received kits to enable them to carry out their work.
(c) On-the-job training has been offered for focal points on the gender perspective in the Sustainable Development Goals.
(d) A report was published on mapping and assessment of the capacities of civil society organizations that promote gender equality and equity in Angola.
(e) The Africa Human Development Report was released.
(f) Legal instruments on gender were disseminated.
(g) The gender policy was translated into the English and French languages for regional and international dissemination.
(h) The first Angola gender country profile was prepared in collaboration with the European Union.
(i) A regional workshop was held on budgeting for programmes, projects and plans for equality in Angola.
(j) A workshop was held on calculation of the Gender Development Index for
Angola.
(k) Training was provided for women and men on the formation of associations and cooperatives at the community level.
(l) Training was provided on transformative leadership and budgeting with a gender perspective.                                                                                                                                   (m) A regional capacity-building workshop for provincial directorates was held on techniques for programming, planning, managing and budgeting for the implementation of the National Policy for Gender Equality and Equity, in the northern, southern, central and eastern regions.
(n) Multisectoral councils were formed, as bodies to track the implementation of activities for gender equality and the empowerment of women and assess the implementation of the gender equality policy.
 ",Legislation/policy change,Lower middle ,Y,,,,,,1,0,0,0,0,0,0,0,0,1
ANGOLA ,2013,2017,Article 3,Significantly increase the financial resources of the national machinery for the empowerment of women at national and local levels;                               ,Partial,"• Act No. 22/10 of 3 December, the Political Parties Act, whose article 20 (m), on statutes and programming, provides that the statutes of political parties must mandatorily include rules that encourage the promotion of equality between men and women and ensure that women make up at least 30 per cent of their governing bodies at all levels                                                                                                                                                                                                                                                                                         Activities carried out under the National Policy for Gender Equality and Equity include:
(a) For the empowerment of women, several occupational training programmes have been carried out at the national level, in which 380 women from associations, cooperatives and civil society organizations received training in techniques for processing agricultural products and in community leadership. Technical personnel from research and planning units and focal points from several ministerial departments also received training on budgeting and planning with a gender perspective and on gender and the Sustainable Development Goals, in alignment with public instruments and policies.
(b) In the area of gender equality, conferences and seminars have been held at the national level on gender and domestic violence, early pregnancy and maternal and neonatal mortality, and training has been offered for gender mobilizers and activists. Informational materials have been distributed, including brochures on gender-related concepts, the campaign to discourage early marriage and pregnancy, the national gender policy, the Domestic Violence Act, the “Recipe for Happiness” programme and international, regional and national instruments. In addition, traditional birth attendants have been trained and have received kits to enable them to carry out their work.
(c) On-the-job training has been offered for focal points on the gender perspective in the Sustainable Development Goals.
(d) A report was published on mapping and assessment of the capacities of civil society organizations that promote gender equality and equity in Angola.
(e) The Africa Human Development Report was released.
(f) Legal instruments on gender were disseminated.
(g) The gender policy was translated into the English and French languages for regional and international dissemination.
(h) The first Angola gender country profile was prepared in collaboration with the European Union.
(i) A regional workshop was held on budgeting for programmes, projects and plans for equality in Angola.
(j) A workshop was held on calculation of the Gender Development Index for
Angola.
(k) Training was provided for women and men on the formation of associations and cooperatives at the community level.
(l) Training was provided on transformative leadership and budgeting with a gender perspective.                                                                                                                                   (m) A regional capacity-building workshop for provincial directorates was held on techniques for programming, planning, managing and budgeting for the implementation of the National Policy for Gender Equality and Equity, in the northern, southern, central and eastern regions.
(n) Multisectoral councils were formed, as bodies to track the implementation of activities for gender equality and the empowerment of women and assess the implementation of the gender equality policy.
 ",Resource allocation and investment ,Lower middle ,Y,,,,,,1,0,0,0,0,0,0,0,0,1
ANGOLA ,2013,2017,Article 3," Provide the national machinery for the advancement of women with the necessary human and technical resources for its effective functioning in all areas of women empowerment at national and local levels ; this should, in particular, include technical capacity-building activities and capacity for enhanced cooperation with civil society;             ",Partial,"• Act No. 22/10 of 3 December, the Political Parties Act, whose article 20 (m), on statutes and programming, provides that the statutes of political parties must mandatorily include rules that encourage the promotion of equality between men and women and ensure that women make up at least 30 per cent of their governing bodies at all levels                                                                                                                                                                                                                                                                                         Activities carried out under the National Policy for Gender Equality and Equity include:
(a) For the empowerment of women, several occupational training programmes have been carried out at the national level, in which 380 women from associations, cooperatives and civil society organizations received training in techniques for processing agricultural products and in community leadership. Technical personnel from research and planning units and focal points from several ministerial departments also received training on budgeting and planning with a gender perspective and on gender and the Sustainable Development Goals, in alignment with public instruments and policies.
(b) In the area of gender equality, conferences and seminars have been held at the national level on gender and domestic violence, early pregnancy and maternal and neonatal mortality, and training has been offered for gender mobilizers and activists. Informational materials have been distributed, including brochures on gender-related concepts, the campaign to discourage early marriage and pregnancy, the national gender policy, the Domestic Violence Act, the “Recipe for Happiness” programme and international, regional and national instruments. In addition, traditional birth attendants have been trained and have received kits to enable them to carry out their work.
(c) On-the-job training has been offered for focal points on the gender perspective in the Sustainable Development Goals.
(d) A report was published on mapping and assessment of the capacities of civil society organizations that promote gender equality and equity in Angola.
(e) The Africa Human Development Report was released.
(f) Legal instruments on gender were disseminated.
(g) The gender policy was translated into the English and French languages for regional and international dissemination.
(h) The first Angola gender country profile was prepared in collaboration with the European Union.
(i) A regional workshop was held on budgeting for programmes, projects and plans for equality in Angola.
(j) A workshop was held on calculation of the Gender Development Index for
Angola.
(k) Training was provided for women and men on the formation of associations and cooperatives at the community level.
(l) Training was provided on transformative leadership and budgeting with a gender perspective.                                                                                                                                   (m) A regional capacity-building workshop for provincial directorates was held on techniques for programming, planning, managing and budgeting for the implementation of the National Policy for Gender Equality and Equity, in the northern, southern, central and eastern regions.
(n) Multisectoral councils were formed, as bodies to track the implementation of activities for gender equality and the empowerment of women and assess the implementation of the gender equality policy.
 ",Women's leadership and participation ,Lower middle ,Y,,,,,,1,0,0,0,0,0,0,0,0,1
ANGOLA ,2013,2017,Article 3,Enhance coordination among existing mechanisms for the advancement of women and promotion of gender equality;          ,Partial,"• Act No. 22/10 of 3 December, the Political Parties Act, whose article 20 (m), on statutes and programming, provides that the statutes of political parties must mandatorily include rules that encourage the promotion of equality between men and women and ensure that women make up at least 30 per cent of their governing bodies at all levels                                                                                                                                                                                                                                                                                         Activities carried out under the National Policy for Gender Equality and Equity include:
(a) For the empowerment of women, several occupational training programmes have been carried out at the national level, in which 380 women from associations, cooperatives and civil society organizations received training in techniques for processing agricultural products and in community leadership. Technical personnel from research and planning units and focal points from several ministerial departments also received training on budgeting and planning with a gender perspective and on gender and the Sustainable Development Goals, in alignment with public instruments and policies.
(b) In the area of gender equality, conferences and seminars have been held at the national level on gender and domestic violence, early pregnancy and maternal and neonatal mortality, and training has been offered for gender mobilizers and activists. Informational materials have been distributed, including brochures on gender-related concepts, the campaign to discourage early marriage and pregnancy, the national gender policy, the Domestic Violence Act, the “Recipe for Happiness” programme and international, regional and national instruments. In addition, traditional birth attendants have been trained and have received kits to enable them to carry out their work.
(c) On-the-job training has been offered for focal points on the gender perspective in the Sustainable Development Goals.
(d) A report was published on mapping and assessment of the capacities of civil society organizations that promote gender equality and equity in Angola.
(e) The Africa Human Development Report was released.
(f) Legal instruments on gender were disseminated.
(g) The gender policy was translated into the English and French languages for regional and international dissemination.
(h) The first Angola gender country profile was prepared in collaboration with the European Union.
(i) A regional workshop was held on budgeting for programmes, projects and plans for equality in Angola.
(j) A workshop was held on calculation of the Gender Development Index for
Angola.
(k) Training was provided for women and men on the formation of associations and cooperatives at the community level.
(l) Training was provided on transformative leadership and budgeting with a gender perspective.                                                                                                                                   (m) A regional capacity-building workshop for provincial directorates was held on techniques for programming, planning, managing and budgeting for the implementation of the National Policy for Gender Equality and Equity, in the northern, southern, central and eastern regions.
(n) Multisectoral councils were formed, as bodies to track the implementation of activities for gender equality and the empowerment of women and assess the implementation of the gender equality policy.
 ",Multisectoral collaboration,Lower middle ,Y,,,,,,1,0,0,0,0,0,0,0,0,1
ANGOLA ,2013,2017,Article 3,"Increase the representation of women at decision-making, policymaking and implementation levels in institutions and mechanisms for development .",Partial,"Activities carried out under the National Policy for Gender Equality and Equity include:
(a) For the empowerment of women, several occupational training programmes have been carried out at the national level, in which 380 women from associations, cooperatives and civil society organizations received training in techniques for processing agricultural products and in community leadership. Technical personnel from research and planning units and focal points from several ministerial departments also received training on budgeting and planning with a gender perspective and on gender and the Sustainable Development Goals, in alignment with public instruments and policies.
(b) In the area of gender equality, conferences and seminars have been held at the national level on gender and domestic violence, early pregnancy and maternal and neonatal mortality, and training has been offered for gender mobilizers and activists. Informational materials have been distributed, including brochures on gender-related concepts, the campaign to discourage early marriage and pregnancy, the national gender policy, the Domestic Violence Act, the “Recipe for Happiness” programme and international, regional and national instruments. In addition, traditional birth attendants have been trained and have received kits to enable them to carry out their work.
(c) On-the-job training has been offered for focal points on the gender perspective in the Sustainable Development Goals.
(d) A report was published on mapping and assessment of the capacities of civil society organizations that promote gender equality and equity in Angola.
(e) The Africa Human Development Report was released.
(f) Legal instruments on gender were disseminated.
(g) The gender policy was translated into the English and French languages for regional and international dissemination.
(h) The first Angola gender country profile was prepared in collaboration with the European Union.
(i) A regional workshop was held on budgeting for programmes, projects and plans for equality in Angola.
(j) A workshop was held on calculation of the Gender Development Index for
Angola.
(k) Training was provided for women and men on the formation of associations and cooperatives at the community level.
(l) Training was provided on transformative leadership and budgeting with a gender perspective.                                                                                                                                   (m) A regional capacity-building workshop for provincial directorates was held on techniques for programming, planning, managing and budgeting for the implementation of the National Policy for Gender Equality and Equity, in the northern, southern, central and eastern regions.
(n) Multisectoral councils were formed, as bodies to track the implementation of activities for gender equality and the empowerment of women and assess the implementation of the gender equality policy.",Women's leadership and participation ,Lower middle ,Y,,,,,,1,0,0,0,0,0,0,0,0,1
ANGOLA ,2013,2017,Article 3,"Ensure that women and men have equal access to all areas of political and public life, including at high levels of decision-making, in the judiciary and the civil service at national, provincial and municipal levels;                                                                                                                                                        ",Partial,"Activities carried out under the National Policy for Gender Equality and Equity include:
(a) For the empowerment of women, several occupational training programmes have been carried out at the national level, in which 380 women from associations, cooperatives and civil society organizations received training in techniques for processing agricultural products and in community leadership. Technical personnel from research and planning units and focal points from several ministerial departments also received training on budgeting and planning with a gender perspective and on gender and the Sustainable Development Goals, in alignment with public instruments and policies.
(b) In the area of gender equality, conferences and seminars have been held at the national level on gender and domestic violence, early pregnancy and maternal and neonatal mortality, and training has been offered for gender mobilizers and activists. Informational materials have been distributed, including brochures on gender-related concepts, the campaign to discourage early marriage and pregnancy, the national gender policy, the Domestic Violence Act, the “Recipe for Happiness” programme and international, regional and national instruments. In addition, traditional birth attendants have been trained and have received kits to enable them to carry out their work.
(c) On-the-job training has been offered for focal points on the gender perspective in the Sustainable Development Goals.
(d) A report was published on mapping and assessment of the capacities of civil society organizations that promote gender equality and equity in Angola.
(e) The Africa Human Development Report was released.
(f) Legal instruments on gender were disseminated.
(g) The gender policy was translated into the English and French languages for regional and international dissemination.
(h) The first Angola gender country profile was prepared in collaboration with the European Union.
(i) A regional workshop was held on budgeting for programmes, projects and plans for equality in Angola.
(j) A workshop was held on calculation of the Gender Development Index for
Angola.
(k) Training was provided for women and men on the formation of associations and cooperatives at the community level.
(l) Training was provided on transformative leadership and budgeting with a gender perspective.                                                                                                                                   (m) A regional capacity-building workshop for provincial directorates was held on techniques for programming, planning, managing and budgeting for the implementation of the National Policy for Gender Equality and Equity, in the northern, southern, central and eastern regions.
(n) Multisectoral councils were formed, as bodies to track the implementation of activities for gender equality and the empowerment of women and assess the implementation of the gender equality policy.",Legislation/policy change,Lower middle ,Y,,,,,,1,0,0,0,0,0,0,0,0,1
ANGOLA ,2013,2017,Article 3,Implement awareness-raising activities for the society as a whole about the importance of women’s participation in decision-making and develop targeted training and mentoring programmes on leadership and negotiation skills for women in the public sector.,Partial,"Activities carried out under the National Policy for Gender Equality and Equity include:
(a) For the empowerment of women, several occupational training programmes have been carried out at the national level, in which 380 women from associations, cooperatives and civil society organizations received training in techniques for processing agricultural products and in community leadership. Technical personnel from research and planning units and focal points from several ministerial departments also received training on budgeting and planning with a gender perspective and on gender and the Sustainable Development Goals, in alignment with public instruments and policies.
(b) In the area of gender equality, conferences and seminars have been held at the national level on gender and domestic violence, early pregnancy and maternal and neonatal mortality, and training has been offered for gender mobilizers and activists. Informational materials have been distributed, including brochures on gender-related concepts, the campaign to discourage early marriage and pregnancy, the national gender policy, the Domestic Violence Act, the “Recipe for Happiness” programme and international, regional and national instruments. In addition, traditional birth attendants have been trained and have received kits to enable them to carry out their work.
(c) On-the-job training has been offered for focal points on the gender perspective in the Sustainable Development Goals.
(d) A report was published on mapping and assessment of the capacities of civil society organizations that promote gender equality and equity in Angola.
(e) The Africa Human Development Report was released.
(f) Legal instruments on gender were disseminated.
(g) The gender policy was translated into the English and French languages for regional and international dissemination.
(h) The first Angola gender country profile was prepared in collaboration with the European Union.
(i) A regional workshop was held on budgeting for programmes, projects and plans for equality in Angola.
(j) A workshop was held on calculation of the Gender Development Index for
Angola.
(k) Training was provided for women and men on the formation of associations and cooperatives at the community level.
(l) Training was provided on transformative leadership and budgeting with a gender perspective.                                                                                                                                   (m) A regional capacity-building workshop for provincial directorates was held on techniques for programming, planning, managing and budgeting for the implementation of the National Policy for Gender Equality and Equity, in the northern, southern, central and eastern regions.
(n) Multisectoral councils were formed, as bodies to track the implementation of activities for gender equality and the empowerment of women and assess the implementation of the gender equality policy.",Legislation/policy change,Lower middle ,Y,,,,,,1,0,0,0,0,0,0,0,0,1
ANGOLA ,2013,2017,General recommendation 19,Encourage women to opt for legal action rather than mediation for cases of domestic violence whenever it is justified;,Implemented,"The Government has put in place a network of free legal information centres (a total of 14 in various provinces) and support centres for victims of violence, strengthened the out-of-court procedures for settling family conflicts and disputes, and established collaborations with religious and civil society entities as part of the implementation of the Executive Plan to Combat Domestic Violence. ",Access to justice (responses and remedies for injustice),Lower middle ,Y,,,,,,1,0,0,0,0,0,0,0,0,1
ANGOLA ,2013,2017,General recommendation 19,"Protect asylum-seeking, refugee and migrant women from all forms of violence, investigate, prosecute and punish the perpetrators of such acts, including members of the State party’s security forces, and establish mechanisms for redress and rehabilitation; respect the domestic law and treaties to
which the State party adheres with regards to the expulsion of migrants, taking into account the vulnerability of migrant women;",Implemented,A programme is currently being carried out to expand the network of shelters and specialized units at police stations and hospitals throughout the country in order to ensure care for victims of domestic violence and create the multisectoral victim assistance teams.    ,Access to justice (responses and remedies for injustice),Lower middle ,Y,,,,,,1,0,0,0,0,0,0,0,0,1
ANGOLA ,2013,2017,General recommendation 19,"Ensure the effective implementation of Law 25/11 against Domestic Violence; ensure that marital rape is explicitly criminalized; adopt legal provisions which prohibit sexual harassment at school, in the workplace and in the public sphere and ensure that the provisions include adequate sanctions;",Implemented,"An extensive national-level programme is also under way to provide training to family counsellors in intermediation, guidance and support for victims of domestic violence. To date, a total of 805 family counsellors have been trained",Legislation/policy change,Lower middle ,Y,,,,,,1,0,1,0,0,0,0,1,0,1
ANGOLA ,2013,2017,General recommendation 19,"Adopt and implement a national strategy to fight against all forms of violence against women;
",Implemented," Act No. 25/11 of 14 July, the Domestic Violence Act; Presidential Decree No. 26/13 of 8 May, which approves the Executive Plan to Combat Domestic Violence and the respective timetable of actions;  Presidential Decree No. 124/13 of 28 August, which sets out the implementing regulations for the Domestic Violence Act and provides for a set of measures to ensure support and protection for victims of domestic violence and rehabilitation of the aggressor and standardizes the operations of shelters and family reconciliation centres.
",Legislation/policy change,Lower middle ,Y,,,,,,1,0,0,0,0,0,0,0,0,1
ANGOLA ,2013,2017,General recommendation 19,"Carry out a study to investigate the scope, extent and root causes of
trafficking in human beings and forced prostitution, particularly of women and girls, including through the collection and analysis of data on trafficking and exploitation of women in prostitution;

",Unacknowledged,No state action taken ,Data collection,Lower middle ,Y,,,,,,0,1,0,0,0,0,0,0,0,1
ARGENTINA,2010,2015,Article 3,undertake awareness-raising campaigns targeted at women to enhance women’s awareness of their human rights and to ensure that women can avail themselves of procedures and remedies for violations of their rights under the Convention,Partial,"""steps were taken in 2014 to implement the “Show abusers the red card” campaign. This is centred around radio and television spots and posters in which leading figures from different spheres of Argentine life commit themselves to fighting abuse."" … ""In articulation with the Ministry of Social Development and the Ministry of Justice and Human Rights, three posters produced for the campaign entitled “They are people just like us” had informative and preventive content that sought to raise awareness about human trafficking and the law"" ... ""the framework of the campaign “UNITE to End to Violence against Women”, sponsored by the United Nations Secretary General, and providing continuity to the campaign “260 men against machismo”, together with the United Nations system in Argentina the CNM, invites men to join the “Network of Men Committed to Ending Violence against Women”, and to participate proactively through actions aimed at preventing the phenomenon in their respective spheres of life"" ... ""the Health and Rights Area of the National Women’s Council was created""",Awareness campaign,Upper middle,N,,,,,,1,0,0,0,0,0,0,0,0,1
ARGENTINA,2010,2015,General recommendation 19,"speed up the adoption and the implementation, in a consistent manner and in all provinces, of implementing legislation and the provision of financial resources to give full effect to the Comprehensive Law on the Prevention, Punishment and Elimination of Violence against Women in their Interpersonal Relations",Partial,"""article 9 of Law 26.485"" … ""Act No. 26.485 was passed in 2009"" … ""Repeal in 2012 of article 132 of the Penal Code"" … ""Amendment, in 2012, of article 80 of the Penal Code, making femicide an aggravating factor in cases of homicide""",Legislation/policy change,Upper middle,N,,,,,,1,0,0,0,1,0,0,0,0,1
ARGENTINA,2010,2015,General recommendation 19,"effective implementation of the existing legislation, at the national, provincial and municipal levels, to combat all forms of violence against women, including domestic violence",Partial,"article 9 of Law 26.485 … ""Act No. 26.485 was passed in 2009"" … ""Repeal in 2012 of article 132 of the Penal Code"" … ""Amendment, in 2012, of article 80 of the Penal Code, making femicide an aggravating factor in cases of homicide""",Legislation/policy change,Upper middle,N,,,,,,1,0,0,0,1,0,0,0,0,1
